"Species","variable","value","Onto","Model"
"ENGRENC_adult","Depth",0.257852072888948,"adult","Presence-Absence"
"DIPLVUL_adult","Depth",0.341579733770436,"adult","Presence-Absence"
"LEPMBOS_juvenile","Depth",0.250856717339526,"juvenile","Presence-Absence"
"LEPMBOS_adult","Depth",0.150869292604738,"adult","Presence-Absence"
"DIPLANN_juvenile","Depth",0.587140160627489,"juvenile","Presence-Absence"
"DIPLANN_adult","Depth",0.568728293920115,"adult","Presence-Absence"
"SARDPIL_juvenile","Depth",0.166221909663517,"juvenile","Presence-Absence"
"SARDPIL_adult","Depth",0.20293121520532,"adult","Presence-Absence"
"SCYMLIC_adult","Depth",0.55927406845402,"adult","Presence-Absence"
"ZEUSFAB_juvenile","Depth",0.668570980039275,"juvenile","Presence-Absence"
"ZEUSFAB_adult","Depth",0.615071620566613,"adult","Presence-Absence"
"SPICMAE_adult","Depth",0.183751715402785,"adult","Presence-Absence"
"SCOMSCO_juvenile","Depth",0.0863664866840424,"juvenile","Presence-Absence"
"SCOMSCO_adult","Depth",0.179895692417865,"adult","Presence-Absence"
"LOPHPIS_juvenile","Depth",0.0929134661962055,"juvenile","Presence-Absence"
"LOPHPIS_adult","Depth",0.151499365709122,"adult","Presence-Absence"
"TRIGLUC_juvenile","Depth",0.584043884481869,"juvenile","Presence-Absence"
"TRIGLUC_adult","Depth",0.599775033134421,"adult","Presence-Absence"
"TRISCAP_juvenile","Depth",0.246775374366268,"juvenile","Presence-Absence"
"TRISCAP_adult","Depth",0.101125060380041,"adult","Presence-Absence"
"SPICFLE_juvenile","Depth",0.372352914395893,"juvenile","Presence-Absence"
"SPICFLE_adult","Depth",0.458719474380796,"adult","Presence-Absence"
"SPICSMA_juvenile","Depth",0.51147971003104,"juvenile","Presence-Absence"
"SPICSMA_adult","Depth",0.192831105977713,"adult","Presence-Absence"
"SOLEVUL_juvenile","Depth",0.745426308258109,"juvenile","Presence-Absence"
"SOLEVUL_adult","Depth",0.774231659759135,"adult","Presence-Absence"
"RAJACLA_juvenile","Depth",0.0802054713980021,"juvenile","Presence-Absence"
"RAJACLA_adult","Depth",0.0525952342728333,"adult","Presence-Absence"
"ARNOLAT_adult","Depth",0.116013873772279,"adult","Presence-Absence"
"BLENOCE_juvenile","Depth",0.304685315452611,"juvenile","Presence-Absence"
"CAPOAPE_juvenile","Depth",0.0367227720821553,"juvenile","Presence-Absence"
"CAPOAPE_adult","Depth",0.0353105545915548,"adult","Presence-Absence"
"CEPOMAC_adult","Depth",0.159758753750482,"adult","Presence-Absence"
"CONGCON_adult","Depth",0.0192347297615199,"adult","Presence-Absence"
"GOBIQUA_adult","Depth",0.1921522828857,"adult","Presence-Absence"
"LEPTCAV_juvenile","Depth",0.345890424972256,"juvenile","Presence-Absence"
"LEPTCAV_adult","Depth",0.222251718896483,"adult","Presence-Absence"
"SERAHEP_juvenile","Depth",0.133942059219551,"juvenile","Presence-Absence"
"SERAHEP_adult","Depth",0.111256188504469,"adult","Presence-Absence"
"TRAHDRA_adult","Depth",0.163693763893807,"adult","Presence-Absence"
"URANSCA_adult","Depth",0.410600764540845,"adult","Presence-Absence"
"ARNORUP_adult","Depth",0.183756889788195,"adult","Presence-Absence"
"ARNOTHO_juvenile","Depth",0.140516919147875,"juvenile","Presence-Absence"
"GADIARG_adult","Depth",0.110617005106511,"adult","Presence-Absence"
"LEPICAU_adult","Depth",0.11455254319269,"adult","Presence-Absence"
"MACOSCO_adult","Depth",0.105256072491404,"adult","Presence-Absence"
"SERACAB_juvenile","Depth",0.150328897068841,"juvenile","Presence-Absence"
"SERACAB_adult","Depth",0.124486681990805,"adult","Presence-Absence"
"SCORNOT_adult","Depth",0.124740767183767,"adult","Presence-Absence"
"ARGRHEM_adult","Depth",0.274068014738439,"adult","Presence-Absence"
"LAMACRO_juvenile","Depth",0.250585300512467,"juvenile","Presence-Absence"
"LAMACRO_adult","Depth",0.297255261866943,"adult","Presence-Absence"
"NEZUAEQ_juvenile","Depth",0.283338554365693,"juvenile","Presence-Absence"
"COELCOE_juvenile","Depth",0.143194338251473,"juvenile","Presence-Absence"
"HYMEITA_adult","Depth",0.378545496807495,"adult","Presence-Absence"
"CALMPHA_juvenile","Depth",0.0588205910695986,"juvenile","Presence-Absence"
"CALMPHA_adult","Depth",0.0346608189428646,"adult","Presence-Absence"
"RAJAAST_adult","Depth",0.581629580217019,"adult","Presence-Absence"
"TRIGLYR_juvenile","Depth",0.0838521330326973,"juvenile","Presence-Absence"
"SCORSCO_adult","Depth",0.15029372669035,"adult","Presence-Absence"
"RAJAMIR_juvenile","Depth",0.148733924438122,"juvenile","Presence-Absence"
"RAJAPOL_juvenile","Depth",0.0930806835537293,"juvenile","Presence-Absence"
"RAJAPOL_adult","Depth",0.101898821183235,"adult","Presence-Absence"
"EUTRGUR_juvenile","Depth",0.0731196043400295,"juvenile","Presence-Absence"
"EUTRGUR_adult","Depth",0.0654005301720536,"adult","Presence-Absence"
"SQUABLA_juvenile","Depth",0.0496875704926203,"juvenile","Presence-Absence"
"SQUABLA_adult","Depth",0.0904523082404711,"adult","Presence-Absence"
"RAJABRA_juvenile","Depth",0.0720646317175201,"juvenile","Presence-Absence"
"SPRASPR_adult","Depth",0.0898856057964431,"adult","Presence-Absence"
"DIAPMET_adult","Depth",0.535852261392091,"adult","Presence-Absence"
"GONODEN_adult","Depth",0.201925849670519,"adult","Presence-Absence"
"ETMOSPI_juvenile","Temperature",0.00673830139416566,"juvenile","Presence-Absence"
"ETMOSPI_adult","Temperature",0.00921900608991278,"adult","Presence-Absence"
"GALUMEL_juvenile","Temperature",0.0255784370377272,"juvenile","Presence-Absence"
"GALUMEL_adult","Temperature",0.0106491795833412,"adult","Presence-Absence"
"HELIDAC_juvenile","Temperature",0.0132250662872198,"juvenile","Presence-Absence"
"HELIDAC_adult","Temperature",0.00965638837054665,"adult","Presence-Absence"
"LOPHBUD_juvenile","Temperature",0.0880059588122881,"juvenile","Presence-Absence"
"LOPHBUD_adult","Temperature",0.312401743713631,"adult","Presence-Absence"
"PAGEBOG_juvenile","Temperature",0.0229775907632749,"juvenile","Presence-Absence"
"PAGEBOG_adult","Temperature",0.149280594292587,"adult","Presence-Absence"
"PHYIBLE_juvenile","Temperature",0.0111645722623542,"juvenile","Presence-Absence"
"PHYIBLE_adult","Temperature",0.0200365824006033,"adult","Presence-Absence"
"TRACTRA_juvenile","Temperature",0.0352516668059628,"juvenile","Presence-Absence"
"TRACTRA_adult","Temperature",0.0266709850925735,"adult","Presence-Absence"
"SCYOCAN_juvenile","Temperature",0.0223948521796714,"juvenile","Presence-Absence"
"SCYOCAN_adult","Temperature",0.0212218972478741,"adult","Presence-Absence"
"TORPMAR_juvenile","Temperature",0.011270660307483,"juvenile","Presence-Absence"
"BOOPBOO_juvenile","Temperature",0.00213176945636825,"juvenile","Presence-Absence"
"BOOPBOO_adult","Temperature",0.00599587410262999,"adult","Presence-Absence"
"MERLMER_juvenile","Temperature",0.0157853397056084,"juvenile","Presence-Absence"
"MERLMER_adult","Temperature",0.0514106149815168,"adult","Presence-Absence"
"MULLSUR_juvenile","Temperature",0.057857491181531,"juvenile","Presence-Absence"
"MULLSUR_adult","Temperature",0.00705213762948272,"adult","Presence-Absence"
"PAGEACA_juvenile","Temperature",0.0109534031108558,"juvenile","Presence-Absence"
"PAGEACA_adult","Temperature",0.0185885330320014,"adult","Presence-Absence"
"SCOMPNE_juvenile","Temperature",0.00288536599337424,"juvenile","Presence-Absence"
"SCOMPNE_adult","Temperature",0.0118930844748696,"adult","Presence-Absence"
"MULLBAR_juvenile","Temperature",0.0100553089023054,"juvenile","Presence-Absence"
"MULLBAR_adult","Temperature",0.00893546336017976,"adult","Presence-Absence"
"PAGEERY_juvenile","Temperature",0.00704054923749481,"juvenile","Presence-Absence"
"PAGEERY_adult","Temperature",0.00659265405491317,"adult","Presence-Absence"
"SPARPAG_juvenile","Temperature",0.00623456245499566,"juvenile","Presence-Absence"
"SPARPAG_adult","Temperature",0.0188135816764368,"adult","Presence-Absence"
"TRIPLAS_juvenile","Temperature",0.00338362725148582,"juvenile","Presence-Absence"
"TRIPLAS_adult","Temperature",0.0067653329668934,"adult","Presence-Absence"
"ASPICUC_juvenile","Temperature",0.0481874991414585,"juvenile","Presence-Absence"
"ASPICUC_adult","Temperature",0.0305537600344965,"adult","Presence-Absence"
"CITHMAC_juvenile","Temperature",0.00264051880180277,"juvenile","Presence-Absence"
"CITHMAC_adult","Temperature",0.0121232078262926,"adult","Presence-Absence"
"TRACMED_juvenile","Temperature",0.00429159977326914,"juvenile","Presence-Absence"
"TRACMED_adult","Temperature",0.0279164109904909,"adult","Presence-Absence"
"RAJAOXY_adult","Temperature",0.00522991239978407,"adult","Presence-Absence"
"MICMPOU_juvenile","Temperature",0.0545845444237394,"juvenile","Presence-Absence"
"MICMPOU_adult","Temperature",0.0119830208244892,"adult","Presence-Absence"
"ENGRENC_juvenile","Temperature",0.00244471668261391,"juvenile","Presence-Absence"
"ENGRENC_adult","Temperature",0.00559338117725171,"adult","Presence-Absence"
"DIPLVUL_adult","Temperature",0.00198168601228578,"adult","Presence-Absence"
"LEPMBOS_juvenile","Temperature",0.00558712778879395,"juvenile","Presence-Absence"
"LEPMBOS_adult","Temperature",0.0185256789954845,"adult","Presence-Absence"
"DIPLANN_juvenile","Temperature",0.00772758599969977,"juvenile","Presence-Absence"
"DIPLANN_adult","Temperature",0.00259257370508548,"adult","Presence-Absence"
"SARDPIL_juvenile","Temperature",0.00412209194914072,"juvenile","Presence-Absence"
"SARDPIL_adult","Temperature",0.00516240290923212,"adult","Presence-Absence"
"SCYMLIC_adult","Temperature",0.0212853521008694,"adult","Presence-Absence"
"ZEUSFAB_juvenile","Temperature",0.00288708384767133,"juvenile","Presence-Absence"
"ZEUSFAB_adult","Temperature",0.00705793271064193,"adult","Presence-Absence"
"SPICMAE_adult","Temperature",0.00429123259634906,"adult","Presence-Absence"
"SCOMSCO_juvenile","Temperature",0.0106507140497099,"juvenile","Presence-Absence"
"SCOMSCO_adult","Temperature",0.0279891400296906,"adult","Presence-Absence"
"LOPHPIS_juvenile","Temperature",0.150512958307396,"juvenile","Presence-Absence"
"LOPHPIS_adult","Temperature",0.095137807316524,"adult","Presence-Absence"
"TRIGLUC_juvenile","Temperature",0.0293265304641189,"juvenile","Presence-Absence"
"TRIGLUC_adult","Temperature",0.0166801402564967,"adult","Presence-Absence"
"TRISCAP_juvenile","Temperature",0.0245841716485629,"juvenile","Presence-Absence"
"TRISCAP_adult","Temperature",0.0256993596212576,"adult","Presence-Absence"
"SPICFLE_juvenile","Temperature",0.00972197522332911,"juvenile","Presence-Absence"
"SPICFLE_adult","Temperature",0.0129278158460963,"adult","Presence-Absence"
"SPICSMA_juvenile","Temperature",0.0163334297356644,"juvenile","Presence-Absence"
"SPICSMA_adult","Temperature",0.00586729079018962,"adult","Presence-Absence"
"SOLEVUL_juvenile","Temperature",0.0083463013900913,"juvenile","Presence-Absence"
"SOLEVUL_adult","Temperature",0.00190512002328667,"adult","Presence-Absence"
"RAJACLA_juvenile","Temperature",0.00755887983379375,"juvenile","Presence-Absence"
"RAJACLA_adult","Temperature",0.0127800387782821,"adult","Presence-Absence"
"ARNOLAT_adult","Temperature",0.0226343675868692,"adult","Presence-Absence"
"BLENOCE_juvenile","Temperature",0.0136041756414799,"juvenile","Presence-Absence"
"CAPOAPE_juvenile","Temperature",0.0262963576816482,"juvenile","Presence-Absence"
"CAPOAPE_adult","Temperature",0.0276000948928427,"adult","Presence-Absence"
"CEPOMAC_adult","Temperature",0.0310779411522899,"adult","Presence-Absence"
"CONGCON_adult","Temperature",0.0175094347627327,"adult","Presence-Absence"
"GOBIQUA_adult","Temperature",0.0146260145375694,"adult","Presence-Absence"
"LEPTCAV_juvenile","Temperature",0.0178564828636671,"juvenile","Presence-Absence"
"LEPTCAV_adult","Temperature",0.0150556882915759,"adult","Presence-Absence"
"SERAHEP_juvenile","Temperature",0.0131978991394298,"juvenile","Presence-Absence"
"SERAHEP_adult","Temperature",0.0146087976029835,"adult","Presence-Absence"
"TRAHDRA_adult","Temperature",0.0103654601005685,"adult","Presence-Absence"
"URANSCA_adult","Temperature",0.0128915483644999,"adult","Presence-Absence"
"ARNORUP_adult","Temperature",0.0390711740046282,"adult","Presence-Absence"
"ARNOTHO_juvenile","Temperature",0.00654012189799884,"juvenile","Presence-Absence"
"GADIARG_adult","Temperature",0.027052882531529,"adult","Presence-Absence"
"LEPICAU_adult","Temperature",0.0323598096448731,"adult","Presence-Absence"
"MACOSCO_adult","Temperature",0.0321651008252853,"adult","Presence-Absence"
"SERACAB_juvenile","Temperature",0.00655684262319558,"juvenile","Presence-Absence"
"SERACAB_adult","Temperature",0.00465745171015899,"adult","Presence-Absence"
"SCORNOT_adult","Temperature",0.0133446348362775,"adult","Presence-Absence"
"ARGRHEM_adult","Temperature",0.0681805078157109,"adult","Presence-Absence"
"LAMACRO_juvenile","Temperature",0.0138575409619344,"juvenile","Presence-Absence"
"LAMACRO_adult","Temperature",0.0160933500698074,"adult","Presence-Absence"
"NEZUAEQ_juvenile","Temperature",0.0325591569781615,"juvenile","Presence-Absence"
"COELCOE_juvenile","Temperature",0.0256874979281176,"juvenile","Presence-Absence"
"HYMEITA_adult","Temperature",0.0319140335686895,"adult","Presence-Absence"
"CALMPHA_juvenile","Temperature",0.0138137229436008,"juvenile","Presence-Absence"
"CALMPHA_adult","Temperature",0.010005252546569,"adult","Presence-Absence"
"RAJAAST_adult","Temperature",0.0429329823782767,"adult","Presence-Absence"
"TRIGLYR_juvenile","Temperature",0.0622997179141281,"juvenile","Presence-Absence"
"SCORSCO_adult","Temperature",0.00222952799880457,"adult","Presence-Absence"
"RAJAMIR_juvenile","Temperature",0.00210963753458338,"juvenile","Presence-Absence"
"RAJAPOL_juvenile","Temperature",0.0105808530796716,"juvenile","Presence-Absence"
"RAJAPOL_adult","Temperature",0.0132028221757535,"adult","Presence-Absence"
"EUTRGUR_juvenile","Temperature",0.000653819412131104,"juvenile","Presence-Absence"
"EUTRGUR_adult","Temperature",0.00142269624350681,"adult","Presence-Absence"
"SQUABLA_juvenile","Temperature",0.00639400648624085,"juvenile","Presence-Absence"
"SQUABLA_adult","Temperature",0.0120800124111116,"adult","Presence-Absence"
"RAJABRA_juvenile","Temperature",0.026533139311132,"juvenile","Presence-Absence"
"SPRASPR_adult","Temperature",0.00379097337783044,"adult","Presence-Absence"
"DIAPMET_adult","Temperature",0.0110949136229414,"adult","Presence-Absence"
"GONODEN_adult","Temperature",0.00914280590792454,"adult","Presence-Absence"
"ETMOSPI_juvenile","Salinity",0.000744097166447443,"juvenile","Presence-Absence"
"ETMOSPI_adult","Salinity",0.00161925837060221,"adult","Presence-Absence"
"GALUMEL_juvenile","Salinity",0.000203624993419124,"juvenile","Presence-Absence"
"GALUMEL_adult","Salinity",0.000451820100598937,"adult","Presence-Absence"
"HELIDAC_juvenile","Salinity",0.00332596755299693,"juvenile","Presence-Absence"
"HELIDAC_adult","Salinity",0.00414450326513712,"adult","Presence-Absence"
"LOPHBUD_juvenile","Salinity",0.00073707415400866,"juvenile","Presence-Absence"
"LOPHBUD_adult","Salinity",0.00182532847804294,"adult","Presence-Absence"
"PAGEBOG_juvenile","Salinity",0.00296254389587813,"juvenile","Presence-Absence"
"PAGEBOG_adult","Salinity",0.00253126034785066,"adult","Presence-Absence"
"PHYIBLE_juvenile","Salinity",0.00815167507736797,"juvenile","Presence-Absence"
"PHYIBLE_adult","Salinity",0.00697411042235313,"adult","Presence-Absence"
"TRACTRA_juvenile","Salinity",0.0013567608027893,"juvenile","Presence-Absence"
"TRACTRA_adult","Salinity",0.00517102086779281,"adult","Presence-Absence"
"SCYOCAN_juvenile","Salinity",0.00091340818256862,"juvenile","Presence-Absence"
"SCYOCAN_adult","Salinity",0.00147408009772824,"adult","Presence-Absence"
"TORPMAR_juvenile","Salinity",0.00993281738970104,"juvenile","Presence-Absence"
"BOOPBOO_juvenile","Salinity",0.00129660908206813,"juvenile","Presence-Absence"
"BOOPBOO_adult","Salinity",0.000454171379421871,"adult","Presence-Absence"
"MERLMER_juvenile","Salinity",0.000144987647801483,"juvenile","Presence-Absence"
"MERLMER_adult","Salinity",0.000967999286224683,"adult","Presence-Absence"
"MULLSUR_juvenile","Salinity",0.0306233818121661,"juvenile","Presence-Absence"
"MULLSUR_adult","Salinity",0.00169646675780873,"adult","Presence-Absence"
"PAGEACA_juvenile","Salinity",0.00540229304204155,"juvenile","Presence-Absence"
"PAGEACA_adult","Salinity",0.00307784706173683,"adult","Presence-Absence"
"SCOMPNE_juvenile","Salinity",0.000540039766219923,"juvenile","Presence-Absence"
"SCOMPNE_adult","Salinity",0.000332967309968911,"adult","Presence-Absence"
"MULLBAR_juvenile","Salinity",0.00185837869593075,"juvenile","Presence-Absence"
"MULLBAR_adult","Salinity",8.64797563625905e-05,"adult","Presence-Absence"
"PAGEERY_juvenile","Salinity",0.00221302507969808,"juvenile","Presence-Absence"
"PAGEERY_adult","Salinity",0.00564598725667905,"adult","Presence-Absence"
"SPARPAG_juvenile","Salinity",0.00203678597122652,"juvenile","Presence-Absence"
"SPARPAG_adult","Salinity",0.00524121687124426,"adult","Presence-Absence"
"TRIPLAS_juvenile","Salinity",0.00152853870363122,"juvenile","Presence-Absence"
"TRIPLAS_adult","Salinity",0.0015326574624695,"adult","Presence-Absence"
"ASPICUC_juvenile","Salinity",0.000513625536364751,"juvenile","Presence-Absence"
"ASPICUC_adult","Salinity",0.000481681929638514,"adult","Presence-Absence"
"CITHMAC_juvenile","Salinity",0.000663896164526244,"juvenile","Presence-Absence"
"CITHMAC_adult","Salinity",0.000988359173917335,"adult","Presence-Absence"
"TRACMED_juvenile","Salinity",0.00123351252038324,"juvenile","Presence-Absence"
"TRACMED_adult","Salinity",0.00230939189434522,"adult","Presence-Absence"
"RAJAOXY_adult","Salinity",0.0018491313509489,"adult","Presence-Absence"
"MICMPOU_juvenile","Salinity",0.00364614771071869,"juvenile","Presence-Absence"
"MICMPOU_adult","Salinity",0.00798820230941142,"adult","Presence-Absence"
"ENGRENC_juvenile","Salinity",0.0034019603018651,"juvenile","Presence-Absence"
"ENGRENC_adult","Salinity",0.000262869058342809,"adult","Presence-Absence"
"DIPLVUL_adult","Salinity",0.00296889590871946,"adult","Presence-Absence"
"LEPMBOS_juvenile","Salinity",0.00976880439091604,"juvenile","Presence-Absence"
"LEPMBOS_adult","Salinity",0.00708782897534573,"adult","Presence-Absence"
"DIPLANN_juvenile","Salinity",0.0147711448266452,"juvenile","Presence-Absence"
"DIPLANN_adult","Salinity",0.00739681207268042,"adult","Presence-Absence"
"SARDPIL_juvenile","Salinity",0.00287799951381593,"juvenile","Presence-Absence"
"SARDPIL_adult","Salinity",0.000607992239136251,"adult","Presence-Absence"
"SCYMLIC_adult","Salinity",0.000939675310963469,"adult","Presence-Absence"
"ZEUSFAB_juvenile","Salinity",0.000366697573842062,"juvenile","Presence-Absence"
"ZEUSFAB_adult","Salinity",0.000825445325953853,"adult","Presence-Absence"
"SPICMAE_adult","Salinity",0.000712197851912216,"adult","Presence-Absence"
"SCOMSCO_juvenile","Salinity",0.00338878513849751,"juvenile","Presence-Absence"
"SCOMSCO_adult","Salinity",0.00179965354252846,"adult","Presence-Absence"
"LOPHPIS_juvenile","Salinity",0.0290805853145462,"juvenile","Presence-Absence"
"LOPHPIS_adult","Salinity",0.0378915165268156,"adult","Presence-Absence"
"TRIGLUC_juvenile","Salinity",0.00605490803679993,"juvenile","Presence-Absence"
"TRIGLUC_adult","Salinity",0.0112968378233291,"adult","Presence-Absence"
"TRISCAP_juvenile","Salinity",0.0030497517036432,"juvenile","Presence-Absence"
"TRISCAP_adult","Salinity",0.00116183164769337,"adult","Presence-Absence"
"SPICFLE_juvenile","Salinity",0.00297218008789393,"juvenile","Presence-Absence"
"SPICFLE_adult","Salinity",0.0130293002979521,"adult","Presence-Absence"
"SPICSMA_juvenile","Salinity",0.00391635730498697,"juvenile","Presence-Absence"
"SPICSMA_adult","Salinity",0.0110341457043345,"adult","Presence-Absence"
"SOLEVUL_juvenile","Salinity",0.000777891782255847,"juvenile","Presence-Absence"
"SOLEVUL_adult","Salinity",0.000481590172850159,"adult","Presence-Absence"
"RAJACLA_juvenile","Salinity",0.000421705748650556,"juvenile","Presence-Absence"
"RAJACLA_adult","Salinity",0.000242635719210093,"adult","Presence-Absence"
"ARNOLAT_adult","Salinity",0.00111627730800901,"adult","Presence-Absence"
"BLENOCE_juvenile","Salinity",0.000509923880096877,"juvenile","Presence-Absence"
"CAPOAPE_juvenile","Salinity",0.000596235029548423,"juvenile","Presence-Absence"
"CAPOAPE_adult","Salinity",0.000359616233519507,"adult","Presence-Absence"
"CEPOMAC_adult","Salinity",0.00076117856247861,"adult","Presence-Absence"
"CONGCON_adult","Salinity",0.000620630359193805,"adult","Presence-Absence"
"GOBIQUA_adult","Salinity",0.000437955369128758,"adult","Presence-Absence"
"LEPTCAV_juvenile","Salinity",0.000514427867659636,"juvenile","Presence-Absence"
"LEPTCAV_adult","Salinity",0.000520689743004346,"adult","Presence-Absence"
"SERAHEP_juvenile","Salinity",0.000213640312190399,"juvenile","Presence-Absence"
"SERAHEP_adult","Salinity",0.000184815283740961,"adult","Presence-Absence"
"TRAHDRA_adult","Salinity",0.000272055484063042,"adult","Presence-Absence"
"URANSCA_adult","Salinity",0.00141341995052779,"adult","Presence-Absence"
"ARNORUP_adult","Salinity",0.00148030041131843,"adult","Presence-Absence"
"ARNOTHO_juvenile","Salinity",0.000524895103008772,"juvenile","Presence-Absence"
"GADIARG_adult","Salinity",0.00266392393955273,"adult","Presence-Absence"
"LEPICAU_adult","Salinity",0.00214202182991566,"adult","Presence-Absence"
"MACOSCO_adult","Salinity",0.00059467813300472,"adult","Presence-Absence"
"SERACAB_juvenile","Salinity",0.000189282465596279,"juvenile","Presence-Absence"
"SERACAB_adult","Salinity",0.000125172039960347,"adult","Presence-Absence"
"SCORNOT_adult","Salinity",0.000714248790961164,"adult","Presence-Absence"
"ARGRHEM_adult","Salinity",0.00524943066843581,"adult","Presence-Absence"
"LAMACRO_juvenile","Salinity",0.00067916954150148,"juvenile","Presence-Absence"
"LAMACRO_adult","Salinity",0.000829657976995276,"adult","Presence-Absence"
"NEZUAEQ_juvenile","Salinity",0.0010988444865399,"juvenile","Presence-Absence"
"COELCOE_juvenile","Salinity",0.00190238547694217,"juvenile","Presence-Absence"
"HYMEITA_adult","Salinity",0.000741709218040951,"adult","Presence-Absence"
"CALMPHA_juvenile","Salinity",0.00580892315367812,"juvenile","Presence-Absence"
"CALMPHA_adult","Salinity",0.00383568366958001,"adult","Presence-Absence"
"RAJAAST_adult","Salinity",0.00767937309165721,"adult","Presence-Absence"
"TRIGLYR_juvenile","Salinity",0.0051029686042289,"juvenile","Presence-Absence"
"SCORSCO_adult","Salinity",0.00189895215587688,"adult","Presence-Absence"
"RAJAMIR_juvenile","Salinity",0.000891408684797315,"juvenile","Presence-Absence"
"RAJAPOL_juvenile","Salinity",0.0025978100212604,"juvenile","Presence-Absence"
"RAJAPOL_adult","Salinity",0.0022840866119725,"adult","Presence-Absence"
"EUTRGUR_juvenile","Salinity",0.00828243134198216,"juvenile","Presence-Absence"
"EUTRGUR_adult","Salinity",0.0074064750496865,"adult","Presence-Absence"
"SQUABLA_juvenile","Salinity",0.000527405846840813,"juvenile","Presence-Absence"
"SQUABLA_adult","Salinity",0.00100510519577036,"adult","Presence-Absence"
"RAJABRA_juvenile","Salinity",0.00444220878931067,"juvenile","Presence-Absence"
"SPRASPR_adult","Salinity",0.000288725927212956,"adult","Presence-Absence"
"DIAPMET_adult","Salinity",0.00304540461350573,"adult","Presence-Absence"
"GONODEN_adult","Salinity",0.00168471428726735,"adult","Presence-Absence"
"ETMOSPI_juvenile","Chlorophyll a",0.00218666413362007,"juvenile","Presence-Absence"
"ETMOSPI_adult","Chlorophyll a",0.0041004936459996,"adult","Presence-Absence"
"GALUMEL_juvenile","Chlorophyll a",0.00483243109779374,"juvenile","Presence-Absence"
"GALUMEL_adult","Chlorophyll a",0.0117193797583786,"adult","Presence-Absence"
"HELIDAC_juvenile","Chlorophyll a",0.000417669295670696,"juvenile","Presence-Absence"
